NC,Mw,R,SC,BD02,BD025,BD03,BD035,BD04,BD05,BD065,BD08,BD10
1,6.4,30,0,8.82,8.23,8.21,8.2,8.19,5.94,5.89,1.34,1.06
2,6.4,30,0,13.19,8.99,7.7,7.68,7.16,5.73,5.56,5.05,0.91
3,5.3,6,1,4.31,3.47,2.79,2.77,2.03,2.02,1.18,0.05,0.04
4,5.3,6,1,4.47,2.93,2.92,1.92,1.43,1.18,1.05,0.16,0.02
5,5.6,15,1,5.74,4.71,4.7,4.68,0.82,0.81,,,
6,5.6,15,1,5.85,4.86,3.49,3.48,2.66,1.4,0.01,,
7,5.2,7,1,4.08,2.58,2.12,2.11,2.1,0.32,,,
8,5.2,7,1,2.25,2.23,1.73,1.49,0.46,0.38,,,
9,6.6,31,0,28.27,18.99,18.46,18.43,17.18,17.14,8.47,8.43,5.88
10,6.6,31,0,22.41,20.28,17.61,17.47,14.68,13.14,11.18,7.65,6.18
11,6.9,128,0,5.13,3.77,0.01,,,,,,
12,6.9,128,0,4.9,4.61,2.79,1.25,0.52,0.02,,,
13,6.9,105,0,15.9,9.28,9.24,9.17,6.58,4.9,0.01,,
14,6.9,105,0,13.82,12.94,11.3,10.33,8.11,2.66,,,
15,6.9,33,1,17.94,17.61,16.24,11.86,11.85,10.5,6.38,4.5,3.29
16,6.9,33,1,17.22,15.21,13.64,11.35,8.69,8.28,8.26,3.94,1.66
17,5.1,13,1,3.2,1.23,0.28,0.22,0.21,0.08,0.02,,
18,5.1,13,1,1.48,0.43,,,,,,,
19,5.8,15,1,6.04,6.03,3.75,3.63,3.43,3.07,0.51,,
20,5.8,15,1,7.12,3.88,3.11,3.1,2.97,2.52,0.25,,
21,5.4,6,1,3.6,2.3,1.8,1.36,0.94,0.49,,,
22,5.4,6,1,3.43,1.74,1.57,1.51,1.47,0.87,0.02,,
23,5.4,56,0,,,,,,,,,
24,5.4,56,0,,,,,,,,,
25,5.2,19,0,7.29,6.65,6.63,,,,,,
26,5.2,19,0,2.8,1.25,,,,,,,
27,4.9,16,0,0.15,0.02,,,,,,,
28,4.9,16,0,,,,,,,,,
29,5.3,12,0,7.98,2.64,0.5,0.48,0.34,0.18,,,
30,5.3,12,0,2.99,2.26,0.02,,,,,,
31,6.2,68,0,0.02,,,,,,,,
32,6.2,68,0,2.43,0.01,,,,,,,
33,6.2,75,0,5.06,,,,,,,,
34,6.2,75,0,4.01,1.28,,,,,,,
35,6.2,13,1,16.23,13.08,13.07,10.65,10.65,10.63,6.11,6.09,2.27
36,6.2,13,1,14.82,14.79,10.3,10.29,8.83,7.98,7.77,5.54,5.26
37,5.4,10,1,7.03,5.69,3.59,1.61,1.57,1.5,1.47,1.23,0.55
38,5.4,10,1,4.77,4.37,4.32,3.78,1.88,1.53,1.23,1.21,0.53
39,6.6,119,2,0.01,,,,,,,,
40,6.6,119,2,0.01,,,,,,,,
41,6.6,85,0,3.67,3.27,,,,,,,
42,6.6,85,0,1.99,1.97,,,,,,,
43,5.1,45,2,2.17,1.95,1.85,1.45,1.39,0.25,0.15,0.07,
44,5.1,45,2,1.21,1.13,1.05,0.62,0.61,0.01,,,
45,5.1,10,0,4.13,3.37,3.37,2.91,2.15,1.45,1.26,0.2,0.19
46,5.1,10,0,5.27,3.06,3.06,2.86,2.86,2.85,1.33,0.77,0.51
47,4.9,25,2,,,,,,,,,
48,4.9,25,2,,,,,,,,,
49,4.9,21,1,6.44,4.56,0.23,,,,,,
50,5.2,21,1,4.29,3.19,2.56,1.51,1.29,,,,
51,5.2,28,2,,,,,,,,,
52,5.2,28,2,,,,,,,,,
53,5.2,18,0,4.27,2.77,2.09,,,,,,
54,5.2,18,0,1.28,0.83,0.67,0.65,0.35,0.2,0.18,,
55,5.3,22,2,0.02,,,,,,,,
56,5.3,11,2,8.82,8.8,5.55,5.19,5.18,4.28,3.22,2.66,2.07
57,5.3,11,2,10.45,7.68,4.6,6.45,4.98,3.94,3.02,2.01,1.98
58,4.8,14,2,1,0.63,0.52,0.4,0.34,0.02,,,
59,4.8,14,2,2.25,2.14,1.99,0.28,0.07,0.05,0.01,,
60,4.5,12,2,0.17,0.1,0.08,0.07,,,,,
61,4.5,12,2,2.14,1.62,0.86,0.5,,,,,
62,5.5,22,0,7.76,5.31,5.29,2.66,0.33,0.2,0.04,,
63,5.5,22,0,8.32,6.2,6.16,6.02,0.2,0.17,,,
