"Participant ID","Taste","Texture","Appearance","Type"
1,5,7,8,"Name Brand"
1,7,7,8,"South Side Yogurt"
1,8,7,8,"East Side Yogurt"
2,8,5,8,"Name Brand"
2,6,7,9,"South Side Yogurt"
2,9,8,10,"East Side Yogurt"
3,8,6,6,"Name Brand"
3,6,9,9,"South Side Yogurt"
3,9,5,8,"East Side Yogurt"
4,8,7,8,"Name Brand"
4,6,7,8,"South Side Yogurt"
4,9,9,8,"East Side Yogurt"
5,8,5,5,"Name Brand"
5,4,7,8,"South Side Yogurt"
5,9,9,8,"East Side Yogurt"
6,4,5,8,"Name Brand"
6,8,9,8,"South Side Yogurt"
6,2,7,6,"East Side Yogurt"
7,9,7,9,"Name Brand"
7,9,8,9,"South Side Yogurt"
7,10,10,5,"East Side Yogurt"
8,5,2,6,"Name Brand"
8,8,7,7,"South Side Yogurt"
8,7,8,7,"East Side Yogurt"
9,8,3,8,"Name Brand"
9,4,8,7,"South Side Yogurt"
9,2,8,7,"East Side Yogurt"
